docId,date,count
ACC_45616,2020-01-09,1
ACC_45616,2020-01-10,1
ACC_45616,2020-01-11,1
ACC_45616,2020-01-12,1
ACC_45616,2020-01-13,2
ACC_45616,2020-01-14,1
ACC_45616,2020-01-16,4
ACC_45616,2020-01-17,2
ACC_45616,2020-01-19,2
ACC_45616,2020-01-20,2
ACC_45616,2020-01-22,2
ACC_45616,2020-01-23,3
ACC_45616,2020-01-24,3
ACC_45616,2020-01-25,6
ACC_45616,2020-01-26,3
ACC_45616,2020-01-27,3
ACC_45616,2020-01-28,1
ACC_45616,2020-01-29,6
ACC_45616,2020-01-30,5
ACC_45616,2020-01-31,10
ACC_45616,2020-02-02,3
ACC_45616,2020-02-04,1
ACC_45616,2020-02-05,2
ACC_45616,2020-02-06,3
ACC_45616,2020-02-07,4
ACC_45616,2020-02-08,4
ACC_45616,2020-02-09,2
ACC_45616,2020-02-11,5
ACC_45616,2020-02-12,3
ACC_45616,2020-02-13,1
ACC_45616,2020-02-14,4
ACC_45616,2020-02-15,8
ACC_45616,2020-02-16,3
ACC_45616,2020-02-17,2
ACC_45616,2020-02-18,4
ACC_45616,2020-02-19,2
ACC_45616,2020-02-20,3
ACC_45616,2020-02-21,3
ACC_45616,2020-02-22,5
ACC_45616,2020-02-23,3
ACC_45616,2020-02-24,3
ACC_45616,2020-02-25,6
ACC_45616,2020-02-26,5
ACC_45616,2020-02-27,1
ACC_45616,2020-02-28,7
ACC_45616,2020-02-29,2
ACC_45616,2020-03-01,2
ACC_45616,2020-03-02,8
ACC_45616,2020-03-03,5
ACC_45616,2020-03-04,6
ACC_45616,2020-03-05,3
ACC_45616,2020-03-06,4
ACC_45616,2020-03-07,1
ACC_45616,2020-03-08,3
ACC_45616,2020-03-09,7
ACC_45616,2020-03-10,4
ACC_45616,2020-03-11,2
ACC_45616,2020-03-12,1
ACC_45616,2020-03-13,10
ACC_45616,2020-03-14,4
ACC_45616,2020-03-15,1
ACC_45616,2020-03-16,11
ACC_45616,2020-03-17,2
ACC_45616,2020-03-18,2
ACC_45616,2020-03-19,2
ACC_45616,2020-03-20,1
ACC_45616,2020-03-21,3
ACC_45616,2020-03-22,2
ACC_45616,2020-03-23,9
ACC_45616,2020-03-24,5
ACC_45616,2020-03-25,3
ACC_45616,2020-03-26,3
ACC_45616,2020-03-27,3
ACC_45616,2020-03-28,5
ACC_45616,2020-03-29,4
ACC_45616,2020-03-30,4
ACC_45616,2020-03-31,3
ACC_45616,2020-04-01,3
ACC_45616,2020-04-03,3
ACC_45616,2020-04-04,3
ACC_45616,2020-04-05,6
ACC_45616,2020-04-06,3
ACC_45616,2020-04-07,4
ACC_45616,2020-04-08,5
ACC_45616,2020-04-09,1
ACC_45616,2020-04-10,6
ACC_45616,2020-04-11,5
ACC_45616,2020-04-12,5
ACC_45616,2020-04-13,3
ACC_45616,2020-04-14,4
ACC_45616,2020-04-16,1
ACC_45616,2020-04-17,2
ACC_45616,2020-04-18,5
ACC_45616,2020-04-19,2
ACC_45616,2020-04-20,7
ACC_45616,2020-04-21,8
ACC_45616,2020-04-22,1
ACC_45616,2020-04-23,4
ACC_45616,2020-04-24,2
ACC_45616,2020-04-25,5
ACC_45616,2020-04-26,2
ACC_45616,2020-04-27,7
ACC_45616,2020-04-28,7
ACC_45616,2020-04-29,3
ACC_45616,2020-04-30,2
ACC_45616,2020-05-01,1
ACC_45616,2020-05-02,3
ACC_45616,2020-05-04,4
ACC_45616,2020-05-05,1
ACC_45616,2020-05-07,2
ACC_45616,2020-05-08,4
ACC_45616,2020-05-09,2
ACC_45616,2020-05-10,2
ACC_45616,2020-05-11,2
ACC_45616,2020-05-12,6
ACC_45616,2020-05-13,1
ACC_45616,2020-05-14,6
ACC_45616,2020-05-15,3
ACC_45616,2020-05-17,1
ACC_45616,2020-05-18,5
ACC_45616,2020-05-19,4
ACC_45616,2020-05-20,3
ACC_45616,2020-05-21,8
ACC_45616,2020-05-22,3
ACC_45616,2020-05-23,2
ACC_45616,2020-05-24,4
ACC_45616,2020-05-26,6
ACC_45616,2020-05-27,2
ACC_45616,2020-05-28,3
ACC_45616,2020-05-29,2
ACC_45616,2020-05-30,3
ACC_45616,2020-05-31,5
ACC_45616,2020-06-01,2
ACC_45616,2020-06-02,3
ACC_45616,2020-06-03,3
ACC_45616,2020-06-04,2
ACC_45616,2020-06-05,5
ACC_45616,2020-06-06,3
ACC_45616,2020-06-07,2
ACC_45616,2020-06-08,2
ACC_45616,2020-06-09,1
ACC_45616,2020-06-10,3
ACC_45616,2020-06-11,3
ACC_45616,2020-06-12,3
ACC_45616,2020-06-14,2
ACC_45616,2020-06-15,2
ACC_45616,2020-06-16,3
ACC_45616,2020-06-17,7
ACC_45616,2020-06-18,1
ACC_45616,2020-06-20,1
ACC_45616,2020-06-21,2
ACC_45616,2020-06-22,4
ACC_45616,2020-06-23,4
ACC_45616,2020-06-24,3
ACC_45616,2020-06-25,9
ACC_45616,2020-06-26,3
ACC_45616,2020-06-27,5
ACC_45616,2020-06-28,2
ACC_45616,2020-06-29,4
ACC_45616,2020-06-30,5
ACC_45616,2020-07-01,3
ACC_45616,2020-07-02,3
ACC_45616,2020-07-03,1
ACC_45616,2020-07-04,10
ACC_45616,2020-07-06,3
ACC_45616,2020-07-07,7
ACC_45616,2020-07-08,6
ACC_45616,2020-07-09,2
ACC_45616,2020-07-10,3
ACC_45616,2020-07-11,3
ACC_45616,2020-07-12,4
ACC_45616,2020-07-13,6
ACC_45616,2020-07-14,7
ACC_45616,2020-07-15,4
ACC_45616,2020-07-16,1
ACC_45616,2020-07-17,9
ACC_45616,2020-07-19,3
ACC_45616,2020-07-20,3
ACC_45616,2020-07-21,1
ACC_45616,2020-07-22,4
ACC_45616,2020-07-23,2
ACC_45616,2020-07-26,5
ACC_45616,2020-07-27,2
ACC_45616,2020-07-28,4
ACC_45616,2020-07-29,3
ACC_45616,2020-07-30,9
ACC_45616,2020-07-31,7
ACC_45616,2020-08-01,2
ACC_45616,2020-08-02,4
ACC_45616,2020-08-03,5
ACC_45616,2020-08-04,4
ACC_45616,2020-08-05,6
ACC_45616,2020-08-06,3
ACC_45616,2020-08-07,3
ACC_45616,2020-08-08,3
ACC_45616,2020-08-09,3
ACC_45616,2020-08-10,4
ACC_45616,2020-08-11,3
ACC_45616,2020-08-12,1
ACC_45616,2020-08-13,7
ACC_45616,2020-08-14,3
ACC_45616,2020-08-15,2
ACC_45616,2020-08-16,1
ACC_45616,2020-08-17,1
ACC_45616,2020-08-18,4
